Molecule,Basis Set,cuEST 2e run 1,cuEST 2e run 2,cuEST 2e run 3,cuEST Exc run 1,cuEST Exc run 2,cuEST Exc run 3,cuEST total run 1,cuEST total run 2,cuEST total run 3,cuEST scf run 1,cuEST scf run 2,cuEST scf run 3,TOTAL ENERGY,Peak Device Memory,Total Device Memory
morphine,3-21G,0.163957000,0.070230000,0.068774000,0.222471000,0.581932000,0.200685000,8.418369000,5.447094000,4.524528000,0.527634000,0.845236000,0.377499000,,9.29 GB,
morphine,6-31G,0.078964000,0.079373000,0.078492000,0.229052000,0.232737000,0.232216000,5.158492000,5.087866000,4.765968000,0.430449000,0.440655000,0.432470000,,9.34 GB,
morphine,6-31G*,0.138826000,0.137892000,0.137292000,0.285350000,0.292766000,0.287068000,6.973396000,5.598670000,5.555856000,0.644357000,0.677274000,0.644060000,,11.87 GB,
morphine,6-31G**,0.160876000,0.159823000,0.163707000,0.302046000,0.298402000,0.298314000,5.860594000,5.806813000,5.921444000,0.759923000,0.743815000,0.766509000,,12.21 GB,
morphine,6-31+G**,0.257002000,0.256259000,0.258034000,0.393880000,0.392447000,0.388372000,7.130908000,7.578005000,6.571767000,1.098520000,1.924835000,1.079691000,,13.51 GB,
morphine,def2-SV(P),0.151662000,0.147469000,0.147301000,0.309664000,0.311214000,0.311516000,5.569349000,5.473732000,5.666413000,0.717382000,0.688263000,0.712065000,,11.89 GB,
morphine,def2-SVP,0.174915000,0.173492000,0.175248000,0.329573000,0.324305000,0.329787000,6.196956000,5.708644000,5.873911000,0.801872000,0.793139000,0.839392000,,12.27 GB,
morphine,def2-TZVP,0.542419000,0.541550000,0.543619000,0.602568000,0.591800000,0.604263000,19.133274000,18.169741000,18.275386000,2.200238000,2.166206000,2.202305000,,19.58 GB,
morphine,def2-TZVPP,0.742727000,0.735273000,0.735756000,0.680617000,0.658097000,0.666068000,23.693952000,22.847069000,22.815651000,2.880940000,2.794981000,2.801807000,,22.63 GB,
morphine,def2-TZVPD,0.836970000,0.836461000,0.834460000,0.743304000,0.736315000,0.736277000,28.698617000,28.619511000,28.595233000,3.060337000,3.039547000,3.027963000,,26.49 GB,
